TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20151110151896,1,1,34.8,3,1,4,60,0,0,0,-1,1,2,1,1,1,4,2,1,  2959776.099247,2,4,2,61,7,-1,1,1,1,2,-1,-1,2,184,-1,0
20151110151900,1,2,41.2,3,5,-1,90,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  6852573.693957,2,4,1,64,7,2,1,2,1,-1,1,2,1,240,2,0
20151110151910,1,1,23.9,3,1,5,30,30,0,0,-1,1,1,1,3,1,1,2,1,  1933946.665278,2,2,2,66,7,-1,1,2,1,2,-1,-1,2,148,2,0
20151110151914,1,1,20.4,3,1,5,35,0,0,0,-1,2,2,1,6,2,-1,-1,1, 21722362.606111,2,2,3,67,7,-1,1,2,3,-1,1,2,2,130,2,0
20151110151918,1,1,22.7,3,1,5,90,0,0,0,-1,1,2,2,-1,2,-1,-1,1, 12733133.822650,2,2,3,67,7,-1,1,2,3,2,3,1,2,145,-1,0
20151110151923,1,3,28.2,3,2,2,125,0,0,0,-1,1,2,2,-1,2,-1,-1,1,  9257153.273807,2,2,2,74,7,-1,-1,-1,2,2,-1,-1,-1,220,2,0
20151110151925,1,1,27.5,3,1,5,70,0,0,0,-1,1,2,2,-1,1,3,1,1, 11342458.893167,2,3,1,64,7,-1,1,2,1,2,2,2,2,160,2,0
20151110151929,1,1,23.3,3,1,5,55,7,0,0,-1,1,1,1,5,1,1,2,1,  7410130.510960,2,2,1,65,7,-1,1,2,1,2,1,3,2,140,-1,0
20151110151930,1,1,26.6,3,1,5,140,2,0,0,-1,1,1,1,3,2,-1,-1,1,  2559434.147818,2,3,1,64,7,-1,2,2,1,2,1,4,-1,155,2,0
20151110151933,1,1,28.0,3,1,-1,60,0,0,0,2,1,2,2,-1,1,10,2,1,  2926507.505804,2,2,1,68,7,-1,1,2,1,1,1,1,2,184,-1,0
20151110151935,1,1,24.5,3,1,-1,70,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  9307220.970907,2,3,2,65,7,-1,-1,-1,2,-1,-1,-1,-1,147,2,0
20151110151937,1,1,23.3,3,1,-1,75,15,0,0,-1,1,1,2,-1,2,-1,-1,1,  2160762.095553,2,2,1,65,7,-1,1,2,1,2,1,1,2,140,2,0
